rankedId,rankedDate,rankedRank
5179,2016-10-10,very well placed
5180,2013-05-13,no rating
5180,2016-08-15,well placed
5181,2019-02-15,well placed
5181,2015-10-30,well placed
5183,2016-10-10,very well placed
5183,2013-05-13,no rating
5185,2013-07-04,very well placed
5185,2017-10-31,very well placed
5186,2019-02-01,well placed
5186,2015-12-22,well placed
5187,2019-02-14,well placed
5187,2016-01-20,well placed
5188,2013-12-20,no rating
5188,2016-06-24,well placed
5189,2013-07-17,very well placed
5189,2017-10-31,well placed
5190,2014-07-25,well placed
5190,2017-11-29,well placed
5191,2012-10-03,no rating
5191,2015-11-05,very well placed
5192,2016-10-10,very well placed
5192,2013-02-28,no rating
5193,2013-07-04,well placed
5193,2017-02-21,very well placed
5194,2013-07-04,well placed
5194,2016-10-11,well placed
5195,2014-07-28,well placed
5195,2017-10-31,well placed
5196,2009-10-14,no rating
5196,2015-11-18,very well placed
5197,2013-02-04,no rating
5197,2016-10-17,well placed
5198,2019-05-15,well placed
5198,2015-10-23,well placed
5199,2013-02-04,no rating
5199,2016-06-28,very well placed
5200,2013-02-04,no rating
5200,2016-06-28,very well placed
5201,2019-02-15,very well placed
5201,2013-07-16,very well placed
5202,2013-02-04,no rating
5202,2016-06-28,well placed
5203,2019-02-08,well placed
5203,2015-12-22,well placed
5204,2013-07-04,well placed
5204,2017-02-20,well placed
5205,2013-07-04,well placed
5205,2017-02-17,well placed
5206,2019-02-08,well placed
5206,2015-11-18,well placed
5207,2012-04-04,no rating
5207,2015-10-27,very well placed
5208,2015-04-17,well placed
5208,2018-06-26,well placed
5209,2018-11-07,well placed
5209,2016-01-13,well placed
5210,2015-08-05,very well placed
5210,2012-02-14,no rating
5211,2018-11-07,very well placed
5211,2015-11-16,well placed
5212,2015-08-05,well placed
5212,2018-12-19,very well placed
5214,2016-01-13,very well placed
5214,2013-01-25,no rating
5215,2013-04-08,no rating
5215,2016-05-30,very well placed
5216,2019-03-05,well placed
5216,2017-01-19,needs further development
5217,2017-05-12,well placed
5217,2013-10-30,well placed
5218,2020-06-02,well placed
5218,2017-01-19,well placed
5219,2017-04-19,very well placed
5219,2013-10-24,well placed
5220,2017-04-21,well placed
5220,2013-10-21,very well placed
5221,2017-01-18,well placed
5221,2013-10-30,well placed
5222,2017-01-19,well placed
5222,2013-08-22,well placed
5223,2013-11-04,very well placed
5223,2017-04-27,well placed
5224,2013-08-02,well placed
5224,2017-05-11,well placed
5225,2017-05-09,well placed
5225,2013-10-30,well placed
5226,2017-01-19,well placed
5226,2013-08-27,well placed
5227,2013-08-05,well placed
5227,2017-04-27,well placed
5228,2013-08-02,well placed
5228,2017-01-19,well placed
5229,2013-08-02,well placed
5229,2017-05-10,very well placed
5230,2015-05-14,well placed
5230,2018-11-15,well placed
5231,2018-09-05,well placed
5231,2015-05-15,well placed
5232,2015-05-15,well placed
5232,2018-11-15,well placed
5233,2018-08-10,well placed
5233,2015-05-14,well placed
5234,2018-08-10,well placed
5234,2015-05-15,well placed
5235,2015-05-14,well placed
5235,2018-11-15,well placed
5236,2015-05-14,well placed
5236,2018-08-15,well placed
5237,2015-10-06,well placed
5237,2019-04-29,well placed
5238,2015-12-02,well placed
5238,2019-05-13,needs further development
5239,2019-04-04,well placed
5239,2015-10-13,well placed
5240,2015-12-23,well placed
5240,2019-05-24,well placed
5241,2015-10-13,well placed
5241,2019-04-29,well placed
5243,2019-06-11,well placed
5243,2015-09-23,well placed
5244,2015-12-02,well placed
5244,2019-06-11,well placed
5245,2015-10-13,well placed
5245,2019-03-28,well placed
5246,2019-06-13,well placed
5246,2015-12-16,well placed
5247,2015-10-13,well placed
5247,2019-03-28,well placed
5248,2015-10-13,well placed
5248,2019-05-27,well placed
5249,2016-02-09,well placed
5249,2019-10-11,well placed
5251,2019-12-20,well placed
5251,2016-03-31,very well placed
5252,2016-06-01,well placed
5252,2012-11-07,no rating
5253,2016-06-10,well placed
5253,2019-10-21,well placed
5254,2016-03-22,well placed
5254,2012-10-26,no rating
5255,2016-02-11,very well placed
5255,2019-12-20,well placed
5256,2016-06-10,well placed
5256,2013-01-24,no rating
5258,2015-12-21,well placed
5258,2019-04-29,not well placed
5259,2016-06-01,well placed
5259,2020-01-21,well placed
5260,2016-05-27,well placed
5260,2019-11-27,well placed
5261,2016-09-01,very well placed
5261,2019-10-04,very well placed
5262,2012-11-15,no rating
5262,2016-09-23,well placed
5263,2019-10-02,well placed
5263,2016-02-11,well placed
5264,2019-10-30,well placed
5264,2016-03-31,well placed
5265,2016-09-19,well placed
5265,2019-12-20,well placed
5266,2016-09-01,well placed
5266,2019-12-11,well placed
5268,2019-10-21,well placed
5268,2016-09-23,well placed
5269,2016-06-01,well placed
5269,2019-12-11,well placed
5270,2015-12-16,well placed
5270,2019-04-29,well placed
5271,2018-05-15,well placed
5271,2014-06-26,very well placed
5272,2014-08-04,well placed
5272,2018-05-11,well placed
5273,2018-05-07,well placed
5273,2014-09-11,well placed
5274,2018-05-24,well placed
5274,2014-07-25,well placed
5275,2016-04-20,well placed
5275,2019-10-23,well placed
5277,2016-04-20,well placed
5277,2019-09-25,well placed
5278,2019-10-09,well placed
5278,2015-12-23,well placed
5279,2012-10-18,no rating
5279,2015-12-22,well placed
5280,2019-11-18,well placed
5280,2015-12-23,well placed
5281,2019-10-15,well placed
5281,2015-12-23,well placed
5282,2009-06-02,no rating
5282,2016-04-20,well placed
5283,2015-12-17,very well placed
5283,2019-09-26,well placed
5284,2019-12-13,well placed
5284,2015-12-17,well placed
5285,2019-11-18,well placed
5285,2015-12-24,well placed
5286,2015-12-17,well placed
5286,2019-09-26,well placed
5287,2016-04-20,well placed
5287,2019-10-24,well placed
5288,2017-12-15,well placed
5288,2014-03-27,well placed
5289,2018-05-14,well placed
5289,2014-04-22,well placed
5290,2014-05-14,well placed
5290,2017-12-18,well placed
5291,2018-05-14,well placed
5291,2014-04-15,well placed
5292,2014-04-10,well placed
5292,2017-12-20,well placed
5293,2018-05-14,well placed
5293,2014-05-27,well placed
5294,2018-05-14,well placed
5294,2014-04-18,well placed
5295,2014-04-10,well placed
5295,2018-05-14,well placed
5296,2014-05-12,well placed
5296,2018-05-14,very well placed
5297,2017-12-15,well placed
5297,2014-04-24,well placed
5298,2014-05-14,well placed
5298,2018-01-30,well placed
5299,2014-04-09,well placed
5299,2018-05-14,very well placed
5300,2018-05-14,needs further development
5300,2019-10-22,no rating
5301,2014-05-14,well placed
5301,2017-12-15,well placed
5302,2018-05-14,well placed
5302,2014-05-27,well placed
5303,2016-06-07,well placed
5303,2019-05-13,well placed
5304,2019-05-14,well placed
5304,2016-06-14,well placed
5305,2019-10-11,well placed
5305,2016-05-24,well placed
5306,2019-10-11,well placed
5306,2016-09-09,well placed
5307,2017-01-18,well placed
5307,2013-08-22,well placed
5308,2017-02-15,very well placed
5308,2013-08-23,well placed
5309,2017-02-16,well placed
5309,2013-07-29,well placed
5310,2016-12-14,well placed
5310,2013-07-24,well placed
5311,2013-08-05,well placed
5311,2016-12-22,well placed
5312,2013-08-12,well placed
5312,2016-12-22,well placed
5313,2013-08-05,well placed
5313,2017-01-26,well placed
5314,2018-05-07,well placed
5314,2013-07-23,very well placed
5315,2017-05-30,well placed
5315,2013-10-31,well placed
5316,2013-10-08,well placed
5316,2017-05-23,well placed
5317,2017-05-23,well placed
5317,2013-10-31,well placed
5318,2018-05-07,well placed
5318,2013-10-17,very well placed
5319,2013-10-17,well placed
5319,2017-05-29,well placed
5320,2018-05-07,very well placed
5320,2013-10-31,very well placed
5321,2013-10-22,well placed
5321,2017-05-29,well placed
5322,2017-05-29,well placed
5322,2013-10-31,well placed
5323,2013-10-08,well placed
5323,2017-05-29,well placed
5324,2013-11-01,well placed
5324,2017-05-22,very well placed
5325,2015-09-14,well placed
5325,2018-12-18,very well placed
5326,2018-09-07,well placed
5326,2015-06-16,well placed
5327,2015-09-10,well placed
5327,2018-10-17,well placed
5328,2018-10-17,well placed
5328,2015-09-23,well placed
5329,2018-11-06,well placed
5329,2015-06-24,well placed
5330,2018-09-05,well placed
5330,2015-06-15,well placed
5331,2015-09-10,well placed
5331,2018-09-13,well placed
5332,2015-06-22,needs further development
5332,2017-06-30,well placed
5333,2018-10-12,well placed
5333,2015-09-25,well placed
5334,2015-09-18,well placed
5334,2018-10-25,well placed
5335,2018-10-12,well placed
5335,2015-06-15,well placed
5336,2018-09-13,well placed
5336,2015-06-22,well placed
5337,2017-07-10,well placed
5337,2015-06-22,needs further development
5338,2015-09-15,well placed
5338,2018-10-17,well placed
5339,2015-06-24,well placed
5339,2018-10-25,well placed
5340,2018-09-12,well placed
5340,2015-06-22,well placed
5341,2012-05-08,no rating
5341,2016-05-24,well placed
5342,2011-12-13,no rating
5342,2015-06-17,well placed
5343,2016-05-27,well placed
5343,2012-05-30,no rating
5344,2011-12-07,no rating
5344,2015-06-17,well placed
5345,2016-08-09,very well placed
5345,2012-01-19,no rating
5346,2016-07-07,well placed
5346,2012-07-25,no rating
5347,2012-02-03,no rating
5347,2015-06-17,well placed
5348,2015-06-05,well placed
5348,2012-06-21,no rating
5349,2015-06-04,well placed
5349,2012-01-13,no rating
5350,2011-12-07,no rating
5350,2015-06-09,well placed
5352,2012-04-05,no rating
5352,2015-06-17,well placed
5353,2020-03-06,well placed
5353,2015-06-23,well placed
5354,2015-06-16,well placed
5354,2019-10-17,well placed
5355,2015-06-17,well placed
5355,2012-04-27,no rating
5356,2015-06-19,well placed
5356,2019-09-24,well placed
5357,2012-02-01,no rating
5357,2016-06-24,well placed
5358,2015-06-10,well placed
5358,2019-09-17,well placed
5359,2016-07-08,well placed
5359,2012-01-13,no rating
5360,2012-02-03,no rating
5360,2016-06-27,well placed
5361,2016-06-09,well placed
5361,2012-05-14,no rating
5362,2016-05-16,well placed
5362,2012-04-30,no rating
5363,2020-05-10,well placed
5363,2015-06-22,well placed
5364,2015-06-09,well placed
5364,2019-08-21,well placed
5365,2019-08-21,very well placed
5365,2015-06-22,well placed
5366,2012-03-06,no rating
5366,2016-05-17,well placed
5367,2011-12-09,no rating
5367,2015-06-17,well placed
5368,2012-10-04,no rating
5368,2015-06-19,well placed
5369,2015-06-16,well placed
5369,2019-09-17,well placed
5370,2015-06-05,well placed
5370,2012-02-15,no rating
5371,2015-06-08,well placed
5371,2012-09-10,no rating
5372,2012-03-13,no rating
5372,2015-06-19,well placed
5373,2016-05-24,well placed
5373,2020-01-28,well placed
5374,2015-06-04,well placed
5374,2012-07-27,no rating
5375,2015-06-08,well placed
5375,2019-10-18,well placed
5376,2015-06-08,well placed
5376,2012-01-18,no rating
5377,2015-06-08,well placed
5377,2019-09-16,well placed
5378,2012-09-05,no rating
5378,2016-05-16,well placed
5379,2012-09-14,no rating
5379,2015-06-22,well placed
5380,2012-01-13,no rating
5380,2016-07-18,well placed
5381,2012-08-07,no rating
5381,2016-07-08,well placed
5382,2015-06-09,well placed
5382,2012-04-13,no rating
5383,2015-06-05,well placed
5383,2019-11-22,well placed
5384,2016-06-10,well placed
5384,2012-04-27,no rating
5385,2015-06-05,well placed
5385,2012-04-27,no rating
5386,2020-03-06,well placed
5386,2015-06-09,well placed
5387,2011-12-15,no rating
5387,2016-06-28,well placed
5388,2012-03-02,no rating
5388,2016-05-27,well placed
5389,2015-06-08,well placed
5389,2012-04-27,no rating
5390,2012-01-17,no rating
5390,2015-06-22,well placed
5391,2012-03-06,no rating
5391,2015-06-08,well placed
5392,2018-09-04,well placed
5392,2014-08-14,well placed
5394,2018-09-04,well placed
5394,2014-08-19,well placed
5395,2018-09-04,well placed
5395,2014-08-19,well placed
5396,2018-09-04,well placed
5396,2014-08-19,well placed
5397,2018-09-20,well placed
5397,2013-07-25,well placed
5398,2018-09-13,well placed
5398,2013-05-21,no rating
5399,2016-06-02,very well placed
5399,2019-11-20,well placed
5400,2013-09-05,well placed
5400,2018-09-12,well placed
5401,2019-04-18,well placed
5401,2013-05-21,no rating
5402,2018-09-06,very well placed
5402,2013-05-21,no rating
5403,2013-08-05,very well placed
5403,2019-04-29,well placed
5404,2016-06-02,very well placed
5404,2013-09-02,well placed
5405,2013-05-21,no rating
5405,2018-09-24,well placed
5406,2013-09-04,well placed
5406,2019-11-20,well placed
5407,2013-08-23,well placed
5407,2019-04-29,well placed
5408,2012-05-30,no rating
5408,2016-06-30,well placed
5409,2015-03-26,very well placed
5409,2012-04-27,no rating
5411,2012-02-13,no rating
5411,2015-03-31,very well placed
5413,2015-03-30,very well placed
5413,2011-06-30,no rating
5414,2014-02-18,very well placed
5414,2010-06-22,no rating
5415,2012-02-16,no rating
5415,2015-03-30,very well placed
5417,2012-05-11,no rating
5417,2017-03-21,very well placed
5418,2012-02-16,no rating
5418,2015-03-31,very well placed
5419,2018-05-23,no rating
5420,2017-03-21,very well placed
5420,2012-06-29,no rating
5421,2019-10-10,well placed
5421,2015-03-31,very well placed
5422,2013-02-21,no rating
5422,2017-03-21,well placed
5424,2019-05-15,very well placed
5424,2012-06-29,no rating
5425,2017-03-21,well placed
5425,2012-11-21,no rating
5426,2012-05-07,no rating
5426,2017-03-21,very well placed
5427,2017-03-21,well placed
5427,2012-06-29,no rating
5428,2009-04-06,no rating
5428,2013-02-21,no rating
5429,2019-08-05,well placed
5429,2014-02-18,well placed
5430,2011-06-30,no rating
5430,2015-03-31,very well placed
5431,2012-11-21,no rating
5431,2018-05-23,well placed
5432,2018-05-10,very well placed
5432,2012-05-30,no rating
5433,2013-02-11,no rating
5433,2017-07-13,well placed
5434,2019-05-15,well placed
5434,2012-11-21,no rating
5435,2019-08-06,well placed
5436,2017-03-21,very well placed
5436,2012-05-30,no rating
5437,2015-03-30,very well placed
5437,2011-06-30,no rating
5438,2011-10-28,no rating
5438,2015-03-31,very well placed
5439,2019-10-10,well placed
5439,2014-02-18,well placed
5440,2013-02-08,no rating
5440,2018-05-30,well placed
5441,2011-06-30,no rating
5441,2015-03-31,very well placed
5442,2011-10-19,no rating
5442,2015-03-31,no rating
5443,2018-05-04,very well placed
5443,2014-02-18,very well placed
5444,2018-05-04,well placed
5444,2013-02-20,no rating
5445,2019-08-06,very well placed
5445,2014-02-18,well placed
5446,2019-08-06,well placed
5446,2014-02-18,well placed
5447,2019-08-06,well placed
5447,2014-02-18,well placed
5448,2019-08-05,well placed
5448,2014-02-18,very well placed
5449,2013-02-12,no rating
5449,2019-05-15,well placed
5450,2009-06-19,no rating
5450,2012-11-21,no rating
5451,2014-02-18,well placed
5451,2010-06-22,no rating
5452,2009-07-09,no rating
5452,2012-11-21,no rating
5453,2012-02-16,no rating
5453,2015-03-31,very well placed
5454,2019-08-06,very well placed
5454,2014-02-18,well placed
5455,2019-05-15,well placed
5455,2012-02-17,no rating
5456,2019-05-15,well placed
5456,2012-02-17,no rating
5457,2015-03-26,very well placed
5457,2011-06-30,no rating
5458,2012-03-01,no rating
5458,2015-03-31,very well placed
5459,2018-05-04,very well placed
5459,2012-06-28,no rating
5460,2019-10-10,very well placed
5460,2015-03-31,very well placed
5461,2012-07-23,no rating
5461,2018-06-25,well placed
5462,2019-10-10,very well placed
5462,2015-03-31,very well placed
5463,2019-10-11,well placed
5463,2012-11-21,no rating
5464,2019-08-05,well placed
5464,2014-02-18,well placed
5465,2015-03-26,very well placed
5465,2011-06-30,no rating
5466,2018-09-07,very well placed
5466,2014-05-29,well placed
5467,2018-09-03,very well placed
5467,2014-05-29,well placed
5468,2018-09-07,well placed
5468,2014-05-29,well placed
5469,2018-09-07,well placed
5469,2012-06-15,no rating
5470,2018-09-07,well placed
5470,2014-05-29,well placed
5471,2018-08-13,well placed
5471,2014-05-20,very well placed
5472,2014-10-01,well placed
5472,2018-06-29,well placed
5473,2014-10-14,well placed
5473,2018-06-28,well placed
5474,2014-10-01,well placed
5474,2018-06-27,well placed
5475,2018-06-28,well placed
5475,2014-10-03,well placed
5476,2014-10-07,well placed
5476,2019-05-14,well placed
5477,2014-10-07,needs further development
5477,2016-05-19,well placed
5478,2014-10-01,well placed
5478,2011-06-10,no rating
5479,2014-10-02,needs further development
5479,2016-06-29,well placed
5480,2018-06-27,very well placed
5480,2014-10-28,well placed
5481,2014-10-14,well placed
5481,2018-06-27,very well placed
5482,2014-06-19,well placed
5482,2017-05-24,well placed
5483,2018-05-24,very well placed
5483,2014-08-26,very well placed
5484,2018-05-24,very well placed
5484,2014-08-26,very well placed
5485,2018-06-15,very well placed
5485,2015-01-21,well placed
5486,2017-05-09,well placed
5486,2014-06-26,well placed
5487,2014-07-04,needs further development
5487,2015-07-28,well placed
5488,2014-07-04,needs further development
5488,2015-07-28,well placed
5489,2020-02-19,very well placed
5489,2015-12-21,well placed
5490,2019-05-07,well placed
5490,2015-11-10,well placed
5491,2019-05-07,well placed
5491,2015-10-27,well placed
5492,2015-11-17,well placed
5492,2020-02-25,well placed
5493,2015-12-07,well placed
5493,2019-12-10,well placed
5494,2015-11-06,well placed
5494,2019-05-07,well placed
5495,2015-12-09,well placed
5495,2020-05-22,very well placed
5496,2015-11-06,well placed
5496,2019-05-07,very well placed
5497,2020-02-19,well placed
5497,2015-10-22,well placed
5498,2015-11-04,well placed
5498,2012-06-18,no rating
5499,2015-11-09,well placed
5499,2020-05-22,well placed
5500,2019-12-10,very well placed
5500,2015-11-24,well placed
5501,2015-12-22,well placed
5501,2020-04-28,very well placed
5502,2015-11-23,well placed
5502,2012-07-31,no rating
5503,2020-05-22,very well placed
5503,2015-12-22,well placed
5504,2015-11-12,well placed
5504,2012-06-19,no rating
5505,2015-11-04,very well placed
5505,2020-03-10,very well placed
5506,2020-05-22,well placed
5506,2015-11-26,very well placed
5507,2015-11-05,very well placed
5507,2020-03-19,very well placed
5508,2015-12-04,well placed
5508,2020-02-18,very well placed
5509,2019-05-07,very well placed
5509,2015-12-22,well placed
5510,2015-11-04,well placed
5510,2020-05-22,well placed
5511,2017-08-10,well placed
5511,2013-05-27,no rating
5512,2017-08-08,well placed
5512,2013-06-10,no rating
5513,2020-05-22,well placed
5513,2017-06-27,well placed
5514,2013-11-06,very well placed
5514,2019-02-19,well placed
5515,2019-02-19,well placed
5515,2017-08-21,needs further development
5516,2013-12-18,well placed
5516,2017-08-21,well placed
