,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Childhood Services Directory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A list of New Zealand Early Childhood Services including contact details, institution information, regional information and management contact details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^ Email addresses are only listed for Early Childhood Education services that agreed to have their email publicly released.  Persons or organisations wishing to send email material to individuals or organisations whose email addresses appear in this directory must comply with the requirements of the Unsolicited Electronic Messages Act 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Other Ethnicity includes, Other, MELAA, Not Stated. In the case of Kohanga Reo services Other also includes Asian and European.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll data as at 1 July 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report data last updated on: 22 - June - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Name,Telephone,Fax No,Email^,Street,Suburb,Town / City,Institution Type,Definition,Authority,20 Hours ECE,Equity Index,Territorial Authority with Auckland Local Board,Regional Council,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Management Contact Details,Management Location Address,Management Postal Address,Management Postal Suburb,Management Postal City,Management Contact Phone,Management Contact Fax,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,All Children,Under 2's,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Total Roll,Maori,Pacific,Asian*,European Pakeha*,Other*
5012,Te Kamo Kindergarten,09 435 0378,09 435 0390,tekamo@nka.org.nz,5 Farmer Street,Kamo,Whangarei,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Kamo East,Denby Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99182,Te Tai Raki Whangarei Kahui Ako,174.304353,-35.681465,30,0,0,0,9,17,8,1,35,13,0,6,14,0
5013,Mairtown Free Kindergarten,09 437 2742,09 437 2749,mairtown@nka.org.nz,21 Princes Street,Mairtown,Whangarei,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Mairtown,Okara Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99181,Nga Kura mo te ako o Whangarei Kahui Ako Group 2,174.32299,-35.706364,40,0,0,0,0,15,31,4,50,14,1,3,31,0
5014,Onerahi Free Kindergarten,09 436 1688,09 470 2660,onerahi@nka.org.nz,6 Bayswater Place,Onerahi,Whangarei,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Sherwood Rise,Okara Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99181,Nga Kura mo te ako o Whangarei Kahui Ako Group 2,174.371274,-35.751769,40,0,0,0,1,18,25,4,48,15,1,2,29,1
5015,Hikurangi Kindergarten,09 433 8535,09 433 8516,hikurangi@nka.org.nz,Park Street,,Hikurangi,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Hikurangi,Hikurangi-Coastal Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99182,Te Tai Raki Whangarei Kahui Ako,174.285332,-35.601685,30,0,0,0,1,18,17,2,38,25,0,0,13,0
5016,Portland Kindergarten,09 432 2533,09 432 2536,portland@nka.org.nz,12 Portland School Road,,Portland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Otaika-Portland,Bream Bay Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99183,Nga Kura mo te ako o Whangarei Kahui Ako Group 4,174.327583,-35.799119,29,0,0,0,3,18,19,0,40,14,0,2,24,0
5017,Raumanga Kindergarten,09 438 1694,09 438 1693,raumanga@nka.org.nz,13 A Murdoch Crescent,Raumanga,Whangarei,Free Kindergarten,Not Applicable,Community based,Yes,EQI 2,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Raumanga West,Okara Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99181,Nga Kura mo te ako o Whangarei Kahui Ako Group 2,174.304192,-35.743806,40,0,0,0,11,8,21,1,41,31,4,0,6,0
5018,Parihaka Kindergarten,09 438 9804,09 438 9808,parihaka@nka.org.nz,38 Kohe Street,Parahaki,Whangarei,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Parahaki,Okara Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99181,Nga Kura mo te ako o Whangarei Kahui Ako Group 2,174.344019,-35.725862,40,0,0,0,10,18,28,3,59,17,1,6,34,1
5019,Tikipunga Free Kindergarten,09 437 0053,09 437 0063,tikipunga@nka.org.nz,8 Tania Place,Tikipunga,Whangarei,Free Kindergarten,Not Applicable,Community based,Yes,EQI 2,Whangarei District,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,Tikipunga West,Denby Ward,Richard Storey,2 Colenso Street,P O Box 4005,Kamo,Whangarei 0141,09-435 9099,09-435 3285,99182,Te Tai Raki Whangarei Kahui Ako,174.324894,-35.686569,40,0,0,0,3,21,16,1,41,19,0,1,21,0
5020,Wellsford Kindergarten,09 423 8281,09 423 8285,wellsford@aka.org.nz,Hazelmere Street,,Wellsford,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Auckland - Rodney,Auckland Region,Auckland,Northland,Te Tai Tokerau,Wellsford,Rodney Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,,,174.52304,-36.299073,30,0,0,0,10,16,19,0,45,14,1,2,26,2
5021,Glamorgan Kindergarten,09 473 5099,09 479 7461,glamorgan@naka.co.nz,37 Danbury Drive,Torbay,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Hibiscus and Bays,Auckland Region,Auckland,East Coast Bays,Te Tai Tokerau,Glamorgan,Albany Ward,Abraham Kukler,44c Anzac Road,P O Box 35223,Browns Bay,North Shore City 0753,09-4795869,09-4797461,,,174.735548,-36.69986,40,0,0,0,0,24,37,1,62,6,0,18,34,4
5022,Orewa Beach Kindergarten,09 426 4543,09 479 7461,orewabeach@naka.co.nz,Riverside Road,,Orewa,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Rodney,Te Tai Tokerau,Orewa,Albany Ward,Abraham Kukler,44c Anzac Road,P O Box 35223,Browns Bay,North Shore City 0753,09-4795869,09-4797461,99069,Orewa Community of Learning,174.688727,-36.591804,40,0,0,0,0,14,39,1,54,12,1,7,33,1
5023,Mahurangi Kindergarten,09 425 7096,09 479 7461,mahurangi@naka.co.nz,13 Albert Road,,Warkworth,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Rodney,Auckland Region,Auckland,Rodney,Te Tai Tokerau,Warkworth,Rodney Ward,Abraham Kukler,44c Anzac Road,P O Box 35223,Browns Bay,North Shore City 0753,09-4795869,09-4797461,,,174.653812,-36.397273,40,0,0,0,8,23,25,1,57,10,5,1,41,0
5024,Rangitoto Kindergarten,09 478 3355,09 479 7461,rangitoto@naka.co.nz,2 A Hythe Terrace,Mairangi Bay,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Hibiscus and Bays,Auckland Region,Auckland,North Shore,Te Tai Tokerau,Mairangi Bay,Albany Ward,Abraham Kukler,44c Anzac Road,P O Box 35223,Browns Bay,North Shore City 0753,09-4795869,09-4797461,99000,Mid Bays Community of Schools,174.748848,-36.736462,40,0,0,0,0,24,55,0,79,1,6,12,60,0
5025,Taiaotea Kindergarten,09 478 7795,09 479 7461,brownsbay@kaitiakikindergartens.org.nz,4 Woodlands Crescent,Browns Bay,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Hibiscus and Bays,Auckland Region,Auckland,East Coast Bays,Te Tai Tokerau,Browns Bay,Albany Ward,Abraham Kukler,44c Anzac Road,P O Box 35223,Browns Bay,North Shore City 0753,09-4795869,09-4797461,99000,Mid Bays Community of Schools,174.741812,-36.715502,40,0,0,0,1,26,31,1,59,2,1,10,41,5
5026,Torbay Kindergarten,09 473 9340,09 479 7461,torbay@naka.co.nz,141 Deep Creek Road,Torbay,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Hibiscus and Bays,Auckland Region,Auckland,East Coast Bays,Te Tai Tokerau,Torbay,Albany Ward,Abraham Kukler,44c Anzac Road,P O Box 35223,Browns Bay,North Shore City 0753,09-4795869,09-4797461,,,174.750444,-36.699256,40,0,0,0,0,25,53,0,78,6,3,6,58,5
5027,Stanmore Bay Kindergarten,09 424 8847,09 479 7461,stanmorebay@naka.co.nz,Waiora Road,,Stanmore Bay,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Rodney,Te Tai Tokerau,Stanmore Bay West,Albany Ward,Abraham Kukler,44c Anzac Road,P O Box 35223,Browns Bay,North Shore City 0753,09-4795869,09-4797461,99095,Whangaparaoa Peninsula Kahui Ako,174.729366,-36.624965,40,0,0,0,0,17,19,9,45,7,3,7,27,1
5028,Anchorage Park Kindergarten,09 576 3138,09 576 3178,anchoragepark@aka.org.nz,9 Tiaka Place,Pakuranga,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Auckland - Howick,Auckland Region,Auckland,Pakuranga,Tamaki Makaurau,Edgewater,Howick Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,,,174.866872,-36.919177,40,0,0,0,0,17,28,0,45,8,3,23,10,1
5029,Avondale Kindergarten,09 828 9532,09 828 9532,avondale@aka.org.nz,195 Rosebank Road,Avondale,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 3,Auckland - Whau,Auckland Region,Auckland,Kelston,Tamaki Makaurau,Avondale West,Whau Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,,,174.687416,-36.89019,40,0,0,0,2,16,21,0,39,9,14,4,4,8
5030,Bairds Kindergarten,09 274 7111,09 274 7127,bairds@aka.org.nz,4 Edward Avenue,Otara,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 1,Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Manukau East,Tamaki Makaurau,Otara West,Manukau Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,,,174.866451,-36.960121,30,0,0,0,2,11,11,2,26,8,17,1,0,0
5031,Bayview Kindergarten,09 444 5540,09 443 1360,bayview@aka.org.nz,70 Bayview Road,Glenfield,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Kaipatiki,Auckland Region,Auckland,Upper Harbour,Te Tai Tokerau,Glendhu,North Shore Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,99120,Kaipatiki Community of Learning,174.705897,-36.771774,40,0,0,0,0,17,32,1,50,4,5,17,23,1
5032,Belmont Bayswater Kindergarten,09 445 6744,09 445 1673,belmontbayswater@aka.org.nz,1C Rosyth Avenue,Bayswater-Auckland,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Devonport-Takapuna,Auckland Region,Auckland,North Shore,Te Tai Tokerau,Bayswater,North Shore Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,99048,Devonport-Takapuna Kahui Ako,174.783911,-36.812302,40,0,0,0,0,19,34,2,55,6,2,5,36,6
5033,Beach Haven Kindergarten,09 483 8706,09 849 4523,beachhaven@aka.org.nz,179 Beach Haven Road,Beach Haven,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Kaipatiki,Auckland Region,Auckland,Northcote,Te Tai Tokerau,Beachhaven North,North Shore Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,99214,Te Ara Whetu Kahui Ako,174.692573,-36.790645,40,0,0,0,0,21,34,2,57,4,4,9,38,2
5034,Birkenhead Kindergarten,09 480 9330,09 480 9351,birkenhead@aka.org.nz,97 A Mokoia Road,Birkenhead,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Kaipatiki,Auckland Region,Auckland,Northcote,Te Tai Tokerau,Kauri Park,North Shore Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,,,174.721441,-36.811393,40,0,0,0,0,14,37,0,51,3,0,14,32,2
5035,Blockhouse Bay Kindergarten,09 627 8042,09 627 8529,blockhousebay@aka.org.nz,5 Exminster Street,Blockhouse Bay,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Whau,Auckland Region,Auckland,New Lynn,Tamaki Makaurau,Blockhouse Bay,Whau Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,99012,Lynfield Kahui Ako,174.702197,-36.921817,40,0,0,0,0,28,26,0,54,7,5,32,8,2
5036,Botany Downs Kindergarten,09 534 9025,09 534 9024,botanydowns@aka.org.nz,22 Maroubra Place,Howick,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Howick,Auckland Region,Auckland,Botany,Tamaki Makaurau,Howick South,Howick Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,,,174.92192,-36.91038,40,0,0,0,0,10,36,1,47,2,0,17,27,1
5037,Sunnynook Kindergarten,09 410 5210,09 410 5210,sunnynook@aka.org.nz,50 Sunnynook Road,Glenfield,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Devonport-Takapuna,Auckland Region,Auckland,North Shore,Te Tai Tokerau,Sunnynook,North Shore Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,99188,Pupuke (Westlake) Community of Learning,174.743602,-36.754847,40,0,0,0,0,13,38,1,52,8,1,27,11,5
5038,Bucklands Beach Kindergarten,09 534 6212,09 534 6212,bucklandsbeach@aka.org.nz,8 Oliver Road,Bucklands Beach,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Howick,Auckland Region,Auckland,Pakuranga,Tamaki Makaurau,Bucklands and Eastern Beaches,Howick Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,,,174.91185,-36.878237,40,0,0,0,0,13,30,4,47,2,2,27,15,1
5039,Cascades Kindergarten,09 576 7466,09 576 7462,cascades@aka.org.nz,Lady Marie Drive,Pakuranga,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Howick,Auckland Region,Auckland,Pakuranga,Tamaki Makaurau,Elsmore Park,Howick Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,,,174.90058,-36.908304,40,0,0,0,0,25,24,0,49,3,2,30,14,0
5040,Ellerslie Kindergarten,09 579 0076,09 579 5071,ellerslie@aka.org.nz,122 Celtic Crescent,Ellerslie,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Orakei,Auckland Region,Auckland,Maungakiekie,Tamaki Makaurau,Ellerslie North,Orakei Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,,,174.822135,-36.890605,40,0,0,0,0,11,49,1,61,4,4,14,37,2
5042,Colwill Kindergarten,09 833 9794,09 833 9791,colwill@aka.org.nz,19 Kintara Drive,Massey,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Auckland - Henderson-Massey,Auckland Region,Auckland,Upper Harbour,Te Tai Tokerau,Royal Heights,Waitakere Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,99125,Te Kahui Ako o Tiriwa,174.632912,-36.834795,30,0,0,0,0,14,21,2,37,10,9,6,10,2
5043,Remuera Kindergarten,09 520 1575,09 520 1261,remuera@aka.org.nz,Wairua Road,Remuera,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Orakei,Auckland Region,Auckland,Epsom,Tamaki Makaurau,Remuera South,Orakei Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,,,174.80509,-36.882788,40,0,0,0,1,19,26,3,49,1,3,25,16,4
5044,Onehunga Kindergarten,09 636 8057,09 636 8230,,17 A Cameron Street,Onehunga,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Maungakiekie,Tamaki Makaurau,Onehunga South East,Maungakiekie-Tamaki Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,99190,Te Iti Kahurangi Community of Learning,174.786882,-36.916813,40,0,0,0,0,23,36,5,64,8,10,17,24,5
5045,Devonport Kindergarten,09 445 3504,09 445 3696,devonport@aka.org.nz,43 Vauxhall Road,Devonport,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Devonport-Takapuna,Auckland Region,Auckland,North Shore,Te Tai Tokerau,Mt Victoria,North Shore Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,99048,Devonport-Takapuna Kahui Ako,174.803432,-36.824779,40,0,0,0,0,0,55,4,59,3,1,1,53,1
5046,Don Buck Kindergarten,09 832 4899,09 832 4894,donbuck@aka.org.nz,124 A Don Buck Road,Massey,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 3,Auckland - Henderson-Massey,Auckland Region,Auckland,Upper Harbour,Te Tai Tokerau,Birdwood East,Waitakere Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,99125,Te Kahui Ako o Tiriwa,174.609703,-36.851143,40,0,0,0,3,17,26,2,48,12,12,10,10,4
5047,Favona Kindergarten,09 275 8212,09 275 8101,favona@aka.org.nz,Wakefield Road,Mangere,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 2,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Mangere,Tamaki Makaurau,Favona North,Manukau Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,,,174.807476,-36.953882,40,0,0,0,10,12,16,1,39,5,31,3,0,0
5048,Ferndale Kindergarten,09 846 6909,09 846 6818,ferndale@aka.org.nz,830 New North Road,Mount Albert,Auckland,Free Kindergarten,Not Applicable,Community based,Yes,EQI 5+,Auckland - Albert-Eden,Auckland Region,Auckland,Mt Albert,Tamaki Makaurau,Mt Albert Central,Albert-Eden-Roskill Ward,Pauline Winter,"Level 5, Otago House 385 Queen Street",P O Box 6933,Wellesley Street,Auckland 1141,09-3766524,,99150,Mt Albert Community of Learning,174.718862,-36.882297,40,0,0,0,0,19,35,2,56,5,2,9,40,0
